,0
0,155.2391
1,319.6422
2,1017.6162
3,239.0509
4,239.0509
5,69.2482
6,181.6271
7,111.085
8,111.085
9,655.0468
10,864.4341
11,86.8728
12,102.7654
13,102.7654
14,69.9349
15,662.6029
16,784.7039
17,784.7039
18,987.652
19,134.9894
20,134.9894
21,337.8177
22,302.6325
23,560.3361
24,104.3473
25,104.3473
26,104.3473
27,145.1455
28,169.317
29,61.03
30,100.9701
31,100.9701
32,302.6325
33,60.7636
34,60.7636
35,1484.688
36,249.8668
37,227.8066
38,143.3386
39,76.1058
40,76.1058
41,348.7565
42,835.263
43,194.2205
44,73.6225
45,163.9582
46,256.6875
47,291.1784
48,77.211
49,182.0148
50,182.0148
51,114.9466
52,68.7339
53,1635.9814
54,398.233
55,193.4175
56,103.397
57,103.397
58,74.5874
59,282.4854
60,328.6671
61,286.9586
62,1635.9814
63,1024.2969
64,1024.2969
65,1635.9814
66,539.1837
67,539.1837
68,73.9412
69,639.5554
70,639.5554
71,198.5557
72,207.9299
73,207.9299
74,376.5857
75,788.7612
76,1017.6162
77,615.7184
78,615.7184
79,1721.0996
80,273.5949
81,273.5949
82,181.7757
83,610.0758
84,114.9812
85,1635.9814
86,1017.9826
87,615.1949
88,231.5942
89,74.8233
90,1635.9814
91,1720.2051
92,981.0639
93,265.8625
94,265.8625
95,393.8429
96,191.4377
97,191.4377
98,714.5305
99,662.6029
100,817.0217
101,1121.6946
102,1635.9814
103,452.1969
104,1635.9814
105,662.6029
106,981.0639
107,127.7079
108,609.815
109,82.9845
110,103.8
111,74.5743
112,393.8429
113,393.8429
114,102.7654
115,114.5492
116,185.2315
117,615.7184
118,386.618
119,615.7184
120,610.9921
121,107.2947
122,181.9194
123,182.0148
124,182.0148
125,262.4285
126,605.9745
127,247.6474
128,247.6474
129,163.1936
130,342.5585
131,111.8563
132,243.033
133,835.263
134,283.7098
135,283.7098
136,158.1843
137,222.2932
138,173.2625
139,173.2625
140,222.2038
141,222.2038
142,776.386
143,990.0274
144,990.0274
145,213.7302
146,64.364
147,621.8414
148,155.2391
149,662.6029
150,924.8883
151,924.8883
152,529.6544
153,321.9677
154,534.4903
155,563.5822
156,563.5822
157,810.522
158,139.2825
159,90.375
160,90.375
161,168.9807
162,615.7184
163,270.7237
164,146.4901
165,146.4901
166,184.4816
167,184.4816
168,655.7288
169,655.7288
170,151.7075
171,151.7075
172,798.6177
173,473.3558
174,420.4172
175,420.4172
176,136.7415
177,219.6134
178,318.42
179,906.8009
180,906.8009
181,62.2596
182,835.263
183,455.5675
184,411.7277
185,168.3953
186,168.3953
187,816.4814
188,541.9708
189,541.9708
190,907.8592
191,438.0169
192,438.0169
193,906.8009
194,158.9289
195,104.2985
