,nodeIndex,countyIndex
0,0,31
1,1,31
2,2,43
3,3,43
4,4,43
5,5,43
6,6,43
7,7,43
8,8,43
9,9,43
10,10,43
11,11,31
12,12,31
13,13,31
14,14,31
15,15,31
16,16,31
17,17,31
18,18,31
19,19,31
20,20,31
21,21,31
22,22,31
23,23,31
24,24,31
25,25,31
26,26,31
27,28,31
28,29,31
29,30,31
30,31,31
31,32,31
32,33,31
33,34,31
34,35,31
35,36,31
36,37,31
37,38,31
38,39,31
39,40,31
40,41,31
41,42,31
42,43,31
43,44,31
44,45,31
45,46,31
46,47,31
47,48,31
48,49,31
49,50,31
50,51,31
51,53,31
52,54,31
53,56,31
54,57,31
55,58,31
56,59,31
57,60,31
58,61,31
59,62,31
60,64,31
61,65,31
62,66,31
63,69,31
64,70,31
65,71,31
66,72,31
67,73,31
68,74,31
69,75,31
70,76,31
71,77,31
72,78,31
73,79,31
74,80,31
75,81,31
76,82,31
77,83,31
78,84,31
79,85,31
80,86,31
81,87,31
82,88,31
83,89,31
84,90,31
85,91,31
86,92,31
87,93,31
88,94,31
89,95,31
90,96,31
91,97,31
92,98,31
93,99,31
94,100,31
95,101,31
96,102,31
97,103,31
98,104,31
99,105,31
100,106,31
101,107,31
102,108,31
103,109,31
104,110,31
105,111,31
106,112,31
107,113,31
108,114,31
109,115,31
110,116,31
111,117,31
112,118,31
113,119,43
114,120,43
115,121,43
116,122,89
117,123,89
118,124,89
119,125,89
120,126,89
121,127,89
122,128,97
123,129,97
124,130,97
125,131,97
126,132,97
127,133,97
128,134,97
129,135,97
130,136,97
131,137,97
132,138,97
133,139,111
134,140,111
135,141,111
136,142,197
137,143,197
138,144,197
139,145,197
140,146,197
141,147,197
142,148,197
143,149,197
144,150,197
145,151,197
146,152,197
147,153,197
148,154,31
149,156,31
150,157,31
151,158,31
152,159,31
153,160,31
154,161,31
155,163,31
156,164,31
157,165,31
158,166,31
159,167,31
160,168,31
161,169,31
162,170,31
163,171,31
164,172,31
165,173,31
166,174,31
167,175,31
168,176,31
169,177,31
170,178,197
171,179,197
172,180,197
173,181,31
174,182,31
175,183,31
176,186,31
177,187,31
178,188,31
179,189,31
180,190,31
181,191,31
182,193,31
183,194,31
184,195,31
185,196,31
186,197,31
187,198,31
188,199,31
189,200,31
190,201,31
191,202,31
192,203,31
193,204,31
194,205,31
195,206,31
196,207,31
197,208,31
198,209,31
199,210,31
200,211,31
201,212,31
202,213,31
203,214,31
204,215,31
205,216,31
206,217,31
207,218,31
208,219,31
209,220,31
210,221,31
211,222,31
212,223,31
213,224,31
214,225,31
215,226,31
216,227,31
217,228,31
218,229,43
219,230,43
220,231,43
221,232,43
222,233,43
223,234,31
224,235,31
225,236,31
226,237,31
227,238,31
228,239,31
229,240,31
230,241,31
231,242,31
232,243,31
233,244,31
234,245,31
235,246,31
236,247,31
237,248,31
238,249,31
239,250,31
240,251,31
241,252,31
242,253,31
243,254,111
244,255,111
245,256,111
246,257,111
247,258,31
248,259,31
249,260,31
250,261,31
251,262,31
252,263,31
253,264,43
254,265,43
255,266,43
256,267,43
257,268,43
258,269,43
259,270,43
260,271,43
261,272,43
262,273,43
263,274,31
264,275,31
265,276,31
266,277,31
267,278,31
268,279,31
269,280,31
270,281,31
271,282,31
272,283,31
273,284,31
274,286,31
275,287,31
276,288,31
277,289,31
278,290,31
279,291,31
280,292,31
281,293,31
282,294,31
283,295,31
284,296,31
285,297,43
286,298,31
287,299,31
288,300,31
289,301,31
290,302,31
291,303,31
292,304,31
293,305,31
294,306,31
295,307,31
296,308,31
297,309,197
298,310,197
299,311,197
300,312,197
301,313,197
302,314,197
303,315,197
304,316,197
305,317,197
306,318,197
307,319,197
308,320,197
309,321,197
310,322,197
311,323,43
312,324,43
313,325,43
314,326,43
315,327,43
316,328,43
317,329,31
318,330,31
319,331,31
320,332,31
321,333,31
322,334,31
323,335,31
324,336,31
325,337,31
326,338,31
327,339,31
328,340,31
329,341,31
330,342,31
331,343,31
332,344,31
333,345,31
334,346,31
335,347,31
336,348,31
337,349,31
338,350,89
339,351,89
340,352,31
341,353,31
342,354,31
343,355,31
344,356,31
345,357,31
346,359,31
347,360,31
348,361,31
349,362,31
350,363,31
351,364,89
352,365,89
353,366,93
354,367,97
355,368,97
356,369,31
357,370,31
358,371,31
359,372,31
360,373,31
361,374,97
362,375,97
363,376,97
364,377,97
365,378,97
366,379,97
367,381,97
368,382,97
369,383,97
370,384,97
371,385,97
372,386,31
373,387,31
374,388,31
375,389,31
376,391,89
377,392,89
378,393,89
379,394,89
380,395,89
381,396,31
382,397,31
383,398,31
384,399,31
385,400,31
386,401,43
387,402,43
388,403,43
389,404,43
390,405,89
391,406,89
392,407,97
393,408,97
394,409,111
395,410,197
396,411,197
397,412,197
398,413,31
399,414,31
400,415,31
401,416,31
402,417,31
403,418,31
404,419,31
405,420,197
406,421,197
407,422,197
408,423,31
409,424,31
410,425,43
411,426,43
412,427,43
413,428,43
414,429,43
415,430,43
416,431,89
417,432,89
418,433,89
419,434,89
420,435,97
421,436,97
422,437,97
423,438,97
424,439,97
425,440,111
426,441,31
427,442,31
428,443,89
429,444,97
430,445,31
431,446,31
432,447,31
433,448,31
434,450,43
435,451,31
436,452,31
437,453,31
438,454,31
439,455,31
440,456,31
441,457,31
442,458,97
443,459,97
444,460,97
445,461,31
446,462,31
447,463,31
448,464,43
449,465,43
450,466,43
451,467,43
452,468,31
453,469,31
454,470,31
455,471,111
456,472,111
457,473,31
458,474,31
459,475,31
460,476,31
461,477,31
462,478,31
463,479,31
464,480,31
465,481,31
466,482,31
467,483,31
468,484,31
469,485,31
470,486,31
471,487,31
472,488,31
473,489,31
474,490,31
475,491,31
476,492,31
477,493,31
478,494,31
479,495,31
480,496,197
481,497,197
482,498,197
483,499,31
484,500,31
485,501,31
486,502,31
487,503,31
488,504,31
489,506,89
490,507,31
491,508,31
492,510,31
493,511,31
494,512,31
495,513,31
496,514,31
497,515,89
498,516,31
499,517,31
500,518,31
501,519,31
502,520,31
503,521,31
504,522,31
505,523,31
506,524,31
507,525,31
508,526,31
509,527,31
510,528,31
511,529,31
512,530,31
513,531,31
514,532,31
515,533,31
516,534,31
517,535,31
518,536,31
519,537,31
520,538,31
521,539,31
522,540,31
523,541,31
524,542,31
525,543,31
526,544,31
527,545,31
528,546,31
529,547,31
530,548,31
531,549,31
532,550,31
533,551,31
534,552,31
535,553,31
536,554,31
537,555,197
538,557,31
539,558,31
540,559,31
541,561,31
542,562,31
543,563,31
544,564,31
545,565,31
546,566,31
547,567,31
548,568,31
549,569,31
550,570,31
551,571,43
552,572,43
553,573,31
554,575,31
555,576,31
556,577,31
557,578,31
558,579,31
559,580,31
560,581,31
561,582,31
562,583,31
563,584,31
564,585,31
565,586,31
566,588,89
567,589,197
568,590,31
569,591,31
570,592,31
571,593,31
572,594,31
573,595,31
574,596,31
575,597,31
576,598,31
577,599,31
578,600,31
579,601,31
580,602,31
581,603,31
582,604,31
583,605,31
584,606,31
585,607,31
586,608,31
587,609,31
588,610,31
589,611,31
590,612,31
591,613,31
592,614,31
593,615,31
594,616,31
595,617,31
596,618,31
597,619,31
598,620,31
599,621,31
600,622,31
601,623,31
602,624,31
603,625,31
604,626,31
605,627,31
606,628,31
607,629,31
608,630,31
609,631,31
610,632,31
611,633,31
612,634,31
613,635,31
614,636,31
615,637,31
616,638,43
617,639,31
618,640,31
619,641,31
620,642,43
621,643,43
622,644,43
623,645,43
624,646,43
625,647,43
626,648,43
